INVOICENO,Description,Quantity,UnitPrice,Line_Item_Value
540541,"RECORD FRAME 7" SINGLE SIZE ",144,2.1,302.40000000000003
540543,"PINK HEART SHAPE EGG FRYING PAN",96,1.25,120
540544,"RED WOOLLY HOTTIE WHITE HEART.",96,2.95,283.20000000000005
540548,"SET OF 3 COLOURED  FLYING DUCKS",120,4.65,558
540550,"WHITE HANGING HEART T-LIGHT HOLDER",128,2.55,326.4
540552,"6 CHOCOLATE LOVE HEART T-LIGHTS",72,1.69,121.67999999999999
540553,"EDWARDIAN PARASOL NATURAL",36,4.25,153
540554,"PINK BLUE FELT CRAFT TRINKET BOX",144,1.06,152.64000000000001
540556,"CREAM SLICE FLANNEL PINK SPOT ",48,2.55,122.39999999999999
540558,"STRAWBERRY CERAMIC TRINKET BOX",144,1.25,180
540559,"CERAMIC STRAWBERRY CAKE MONEY BANK",144,1.25,180
540595,"STRAWBERRY CERAMIC TRINKET BOX",216,1.06,228.96
540639,"JUMBO BAG RED RETROSPOT",200,1.65,330
540672,"RETROSPOT CHILDRENS APRON",120,1.65,198
540673,"RED WOOLLY HOTTIE WHITE HEART.",384,2.95,1132.8000000000002
540675,"BREAD BIN DINER STYLE RED ",8,14.95,119.6
540676,"BREAD BIN DINER STYLE PINK",8,14.95,119.6
541252,"PAPER CHAIN KIT 50'S CHRISTMAS ",22,5.91,130.02
541435,"REGENCY CAKESTAND 3 TIER",47,12.72,597.84
542102,"BLACK RECORD COVER FRAME",60,3.39,203.4
542156,"BAKING SET SPACEBOY DESIGN",24,4.25,102
542506,"BLACK RECORD COVER FRAME",72,3.39,244.08
542509,"CHILLI LIGHTS",24,4.25,102
542510,"GRAND CHOCOLATECANDLE",144,1.25,180
542511,"SET 10 LIGHTS NIGHT OWL",24,5.95,142.8
542516,"HANGING BAUBLE T-LIGHT HOLDER SMALL",108,2.1,226.8
542517,"STAR PORTABLE TABLE LIGHT ",96,2.55,244.79999999999998
542540,"PAPER CHAIN KIT VINTAGE CHRISTMAS",40,2.55,102
542541,"CHRISTMAS LIGHTS 10 VINTAGE BAUBLES",24,4.25,102
542575,"SET 7 BABUSHKA NESTING BOXES",12,8.5,102
542902,"PAPER CHAIN KIT 50'S CHRISTMAS ",36,2.95,106.2
543247,"PAPER CHAIN KIT VINTAGE CHRISTMAS",40,2.55,102
543589,"LUNCH BOX I LOVE LONDON",128,1.65,211.2
543591,"VINTAGE SNAP CARDS",144,0.72,103.67999999999999
543592,"VINTAGE HEADS AND TAILS CARD GAME ",216,1.06,228.96
543593,"PACK OF 12 LONDON TISSUES ",600,0.29,174
543594,"PLASTERS IN TIN STRONGMAN",144,1.65,237.6
544333,"BLACK ENCHANTED FOREST PLACEMAT",120,1.45,174
544337,"CHILLI LIGHTS",24,4.25,102
