INVOICENO,"STOCK CODE",Description,Quantity,InvoiceDate,UNITPRICE,CustomerID,Country
536569,22262,"FELT EGG COSY CHICKEN",1,"12-01-2010 09:41",0.85,12471,"United Kingdom"
536570,22637,"PIGGY BANK RETROSPOT ",1,"12-01-2010 09:41",2.55,15601,"United Kingdom"
536571,21934,"SKULL SHOULDER BAG",10,"12-01-2010 09:41",1.65,13418,"United Kingdom"
536572,21169,"YOU'RE CONFUSING ME METAL SIGN ",3,"12-01-2010 09:41",1.69,14766,"United Kingdom"
536573,21166,"COOK WITH WINE METAL SIGN ",1,"12-01-2010 09:41",1.95,15658,"United Kingdom"
536574,21175,"GIN + TONIC DIET METAL SIGN",2,"12-01-2010 09:41",2.1,14388,"United Kingdom"
536575,37444,"YELLOW BREAKFAST CUP AND SAUCER",1,"12-01-2010 09:41",2.95,14901,"United Kingdom"
536576,37444,"PINK BREAKFAST CUP AND SAUCER ",1,"12-01-2010 09:41",2.95,18041,"United Kingdom"
536577,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",4,"12-01-2010 09:41",2.95,15955,"United Kingdom"
536578,22083,"PAPER CHAIN KIT RETROSPOT",1,"12-01-2010 09:41",2.95,15070,"United Kingdom"
536579,84971,"SMALL HEART FLOWERS HOOK ",6,"12-01-2010 09:41",0.85,16244,"United Kingdom"
536580,71270,"PHOTO CLIP LINE",3,"12-01-2010 09:41",1.25,15111,"United Kingdom"
536581,47580,"TEA TIME DES TEA COSY",2,"12-01-2010 09:41",2.55,14390,"United Kingdom"
536582,22261,"FELT EGG COSY WHITE RABBIT ",1,"12-01-2010 09:41",0.85,16546,"United Kingdom"
536583,84832,"ZINC WILLIE WINKIE  CANDLE STICK",1,"12-01-2010 09:41",0.85,15260,"United Kingdom"
536584,22644,"CERAMIC CHERRY CAKE MONEY BANK",1,"12-01-2010 09:41",1.45,13305,"United Kingdom"
536585,21533,"RETROSPOT LARGE MILK JUG",1,"12-01-2010 09:41",4.95,14491,"United Kingdom"
536586,21557,"SET OF 6 FUNKY BEAKERS",2,"12-01-2010 09:41",2.95,14060,"United Kingdom"
536587,15056,"EDWARDIAN PARASOL BLACK",2,"12-01-2010 09:41",5.95,15923,"United Kingdom"
536588,15056,"EDWARDIAN PARASOL NATURAL",2,"12-01-2010 09:41",5.95,16752,"United Kingdom"
536589,22646,"CERAMIC STRAWBERRY CAKE MONEY BANK",4,"12-01-2010 09:41",1.45,17287,"United Kingdom"
536590,22176,"BLUE OWL SOFT TOY",1,"12-01-2010 09:41",2.95,15363,"United Kingdom"
536591,22438,"BALLOON ART MAKE YOUR OWN FLOWERS",1,"12-01-2010 09:41",1.95,12915,"United Kingdom"
536592,21731,"RED TOADSTOOL LED NIGHT LIGHT",2,"12-01-2010 09:41",1.65,15544,"United Kingdom"
536593,22778,"GLASS CLOCHE SMALL",3,"12-01-2010 09:41",3.95,15738,"United Kingdom"
536594,22719,"GUMBALL MONOCHROME COAT RACK",36,"12-01-2010 09:41",1.06,16042,"United Kingdom"
536595,21523,"DOORMAT FANCY FONT HOME SWEET HOME",10,"12-01-2010 09:41",6.75,17381,"United Kingdom"
536596,10002,"INFLATABLE POLITICAL GLOBE ",12,"12-01-2010 09:45",0.85,15827,"United Kingdom"
536597,21912,"VINTAGE SNAKES & LADDERS",8,"12-01-2010 09:45",3.75,14180,"United Kingdom"
536598,21832,"CHOCOLATE CALCULATOR",12,"12-01-2010 09:45",1.65,13117,"United Kingdom"
536599,22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",10,"12-01-2010 09:45",1.95,16916,"United Kingdom"
536600,22379,"RECYCLING BAG RETROSPOT ",10,"12-01-2010 09:45",2.1,17964,"United Kingdom"
536601,22381,"TOY TIDY PINK POLKADOT",50,"12-01-2010 09:45",1.85,14466,"United Kingdom"
536602,22798,"ANTIQUE GLASS DRESSING TABLE POT",8,"12-01-2010 09:45",2.95,17235,"United Kingdom"
536603,22726,"ALARM CLOCK BAKELIKE GREEN",4,"12-01-2010 09:45",3.75,16510,"United Kingdom"
536604,22926,"IVORY GIANT GARDEN THERMOMETER",12,"12-01-2010 09:45",5.95,17802,"United Kingdom"
536605,22839,"3 TIER CAKE TIN GREEN AND CREAM",2,"12-01-2010 09:45",14.95,15107,"United Kingdom"
536606,22838,"3 TIER CAKE TIN RED AND CREAM",2,"12-01-2010 09:45",14.95,17976,"United Kingdom"
536607,22783,"SET 3 WICKER OVAL BASKETS W LIDS",4,"12-01-2010 09:45",16.95,14449,"United Kingdom"
536608,35004,"SET OF 3 COLOURED  FLYING DUCKS",-1,"12-01-2010 09:49",4.65,15838,"United Kingdom"
536609,82484,"WOOD BLACK BOARD ANT WHITE FINISH",3,"12-01-2010 09:53",6.45,16781,"United Kingdom"
536610,84755,"COLOUR GLASS T-LIGHT HOLDER HANGING",48,"12-01-2010 09:53",0.65,17547,"United Kingdom"
536611,22464,"HANGING METAL HEART LANTERN",12,"12-01-2010 09:53",1.65,13491,"United Kingdom"
536612,21324,"HANGING MEDINA LANTERN SMALL",6,"12-01-2010 09:53",2.95,16186,"United Kingdom"
536613,22457,"NATURAL SLATE HEART CHALKBOARD ",12,"12-01-2010 09:53",2.95,17685,"United Kingdom"
536614,22469,"HEART OF WICKER SMALL",40,"12-01-2010 09:53",1.45,17581,"United Kingdom"
536615,22470,"HEART OF WICKER LARGE",40,"12-01-2010 09:53",2.55,15732,"United Kingdom"
536616,22224,"WHITE LOVEBIRD LANTERN",6,"12-01-2010 09:53",2.95,13138,"United Kingdom"
536617,21340,"CLASSIC METAL BIRDCAGE PLANT HOLDER",2,"12-01-2010 09:53",12.75,15823,"United Kingdom"
536618,22189,"CREAM HEART CARD HOLDER",4,"12-01-2010 09:53",3.95,17567,"United Kingdom"
536619,22427,"ENAMEL FLOWER JUG CREAM",3,"12-01-2010 09:53",5.95,15061,"United Kingdom"
536620,22428,"ENAMEL FIRE BUCKET CREAM",6,"12-01-2010 09:53",6.95,16203,"United Kingdom"
536621,22424,"ENAMEL BREAD BIN CREAM",8,"12-01-2010 09:53",10.95,15640,"United Kingdom"
536622,22783,"SET 3 WICKER OVAL BASKETS W LIDS",1,"12-01-2010 09:56",19.95,15574,"United Kingdom"
536623,22961,"JAM MAKING SET PRINTED",12,"12-01-2010 09:56",1.45,16770,"United Kingdom"
536624,22960,"JAM MAKING SET WITH JARS",6,"12-01-2010 09:56",4.25,17838,"United Kingdom"
536625,22663,"JUMBO BAG DOLLY GIRL DESIGN",10,"12-01-2010 09:56",1.95,17228,"United Kingdom"
536626,85049,"TRADITIONAL CHRISTMAS RIBBONS",12,"12-01-2010 09:56",1.25,14829,"United Kingdom"
536627,22168,"ORGANISER WOOD ANTIQUE WHITE ",2,"12-01-2010 09:56",8.5,17412,"United Kingdom"
536628,22662,"LUNCH BAG DOLLY GIRL DESIGN",10,"12-01-2010 09:56",1.65,14031,"United Kingdom"
536629,84880,"WHITE WIRE EGG HOLDER",36,"12-01-2010 09:57",4.95,14775,"United Kingdom"
536630,85099,"JUMBO  BAG BAROQUE BLACK WHITE",100,"12-01-2010 09:57",1.65,12971,"United Kingdom"
536631,85099,"JUMBO BAG RED RETROSPOT",100,"12-01-2010 09:57",1.65,15834,"United Kingdom"
536632,79321,"CHILLI LIGHTS",192,"12-01-2010 09:58",3.82,17659,"United Kingdom"
536633,22780,"LIGHT GARLAND BUTTERFILES PINK",192,"12-01-2010 09:58",3.37,15299,"United Kingdom"
536634,22779,"WOODEN OWLS LIGHT GARLAND ",192,"12-01-2010 09:58",3.37,15646,"United Kingdom"
536635,22466,"FAIRY TALE COTTAGE NIGHTLIGHT",432,"12-01-2010 09:58",1.45,13958,"United Kingdom"
536636,21731,"RED TOADSTOOL LED NIGHT LIGHT",432,"12-01-2010 09:58",1.25,14443,"United Kingdom"
536637,21754,"HOME BUILDING BLOCK WORD",3,"12-01-2010 09:59",5.95,14156,"United Kingdom"
536638,21755,"LOVE BUILDING BLOCK WORD",3,"12-01-2010 09:59",5.95,16995,"United Kingdom"
536639,21523,"DOORMAT FANCY FONT HOME SWEET HOME",2,"12-01-2010 09:59",7.95,13402,"United Kingdom"
536640,21363,"HOME SMALL WOOD LETTERS",3,"12-01-2010 09:59",4.95,18168,"United Kingdom"
536641,21411,"GINGHAM HEART  DOORSTOP RED",3,"12-01-2010 09:59",4.25,17757,"United Kingdom"
536642,22318,"FIVE HEART HANGING DECORATION",6,"12-01-2010 09:59",2.95,14625,"United Kingdom"
536643,22464,"HANGING METAL HEART LANTERN",12,"12-01-2010 09:59",1.65,13011,"United Kingdom"
536663,22915,"ASSORTED BOTTLE TOP  MAGNETS ",12,"12-01-2010 09:59",0.42,13798,"United Kingdom"
536667,22922,"FRIDGE MAGNETS US DINER ASSORTED",12,"12-01-2010 09:59",0.85,15384,"United Kingdom"
536670,22969,"HOMEMADE JAM SCENTED CANDLES",12,"12-01-2010 09:59",1.45,14264,"United Kingdom"
536671,22923,"FRIDGE MAGNETS LES ENFANTS ASSORTED",12,"12-01-2010 09:59",0.85,13295,"United Kingdom"
536672,21115,"ROSE CARAVAN DOORSTOP",4,"12-01-2010 09:59",6.75,16754,"United Kingdom"
536673,22469,"HEART OF WICKER SMALL",12,"12-01-2010 09:59",1.65,16634,"United Kingdom"
536674,22242,"5 HOOK HANGER MAGIC TOADSTOOL",12,"12-01-2010 09:59",1.65,18239,"United Kingdom"
536676,22941,"CHRISTMAS LIGHTS 10 REINDEER",6,"12-01-2010 10:03",8.5,14576,Australia
536681,21622,"VINTAGE UNION JACK CUSHION COVER",8,"12-01-2010 10:03",4.95,13145,Australia
536685,21791,"VINTAGE HEADS AND TAILS CARD GAME ",12,"12-01-2010 10:03",1.25,14395,Australia
536688,35004,"SET OF 3 COLOURED  FLYING DUCKS",6,"12-01-2010 10:03",5.45,14865,Australia
536690,35004,"SET OF 3 GOLD FLYING DUCKS",4,"12-01-2010 10:03",6.35,15093,Australia
536693,85014,"RED RETROSPOT UMBRELLA",6,"12-01-2010 10:03",5.95,12738,Australia
536698,85014,"BLACK/BLUE POLKADOT UMBRELLA",3,"12-01-2010 10:03",5.95,16150,Australia
536707,22193,"RED DINER WALL CLOCK",2,"12-01-2010 10:03",8.5,17552,Australia
536732,22726,"ALARM CLOCK BAKELIKE GREEN",4,"12-01-2010 10:03",3.75,14236,Australia
536733,22727,"ALARM CLOCK BAKELIKE RED ",4,"12-01-2010 10:03",3.75,17961,Australia
536734,22192,"BLUE DINER WALL CLOCK",2,"12-01-2010 10:03",8.5,14573,Australia
536735,22191,"IVORY DINER WALL CLOCK",2,"12-01-2010 10:03",8.5,17135,Australia
536736,22195,"LARGE HEART MEASURING SPOONS",24,"12-01-2010 10:03",1.65,17396,Australia
536737,22196,"SMALL HEART MEASURING SPOONS",24,"12-01-2010 10:03",0.85,14213,Australia
536738,22941,"CHRISTMAS LIGHTS 10 REINDEER",2,"12-01-2010 10:19",8.5,12967,"United Kingdom"
536739,22960,"JAM MAKING SET WITH JARS",12,"12-01-2010 10:19",3.75,12686,"United Kingdom"
536740,22961,"JAM MAKING SET PRINTED",12,"12-01-2010 10:19",1.45,14679,"United Kingdom"
536741,22962,"JAM JAR WITH PINK LID",48,"12-01-2010 10:19",0.72,15240,"United Kingdom"
536742,22963,"JAM JAR WITH GREEN LID",48,"12-01-2010 10:19",0.72,18225,"United Kingdom"
536743,22968,"ROSE COTTAGE KEEPSAKE BOX ",8,"12-01-2010 10:19",8.5,13370,"United Kingdom"
536744,84970,"HANGING HEART ZINC T-LIGHT HOLDER",144,"12-01-2010 10:19",0.64,16883,"United Kingdom"
536745,22910,"PAPER CHAIN KIT VINTAGE CHRISTMAS",40,"12-01-2010 10:19",2.55,13520,"United Kingdom"
536746,20668,"DISCO BALL CHRISTMAS DECORATION",288,"12-01-2010 10:19",0.1,12841,"United Kingdom"
536747,85123,"WHITE HANGING HEART T-LIGHT HOLDER",64,"12-01-2010 10:19",2.55,16905,"United Kingdom"
536748,22197,"SMALL POPCORN HOLDER",100,"12-01-2010 10:19",0.72,12427,"United Kingdom"
536749,22198,"LARGE POPCORN HOLDER ",50,"12-01-2010 10:19",1.45,17967,"United Kingdom"
536750,21533,"RETROSPOT LARGE MILK JUG",12,"12-01-2010 10:19",4.25,16891,"United Kingdom"
536751,21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",96,"12-01-2010 10:19",0.64,14589,"United Kingdom"
536752,21094,"SET/6 RED SPOTTY PAPER PLATES",96,"12-01-2010 10:19",0.64,14680,"United Kingdom"
536753,21086,"SET/6 RED SPOTTY PAPER CUPS",48,"12-01-2010 10:19",0.65,17884,"United Kingdom"
536754,21786,"POLKADOT RAIN HAT ",144,"12-01-2010 10:19",0.32,12557,"United Kingdom"
536755,22654,"DELUXE SEWING KIT ",40,"12-01-2010 10:19",4.95,14083,"United Kingdom"
536756,21485,"RETROSPOT HEART HOT WATER BOTTLE",24,"12-01-2010 10:19",4.25,13013,"United Kingdom"
536757,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",24,"12-01-2010 10:19",3.39,14210,"United Kingdom"
536758,84030,"ENGLISH ROSE HOT WATER BOTTLE",24,"12-01-2010 10:19",3.75,16477,"United Kingdom"
536759,22174,"PHOTO CUBE",48,"12-01-2010 10:19",1.48,12600,"United Kingdom"
536760,22969,"HOMEMADE JAM SCENTED CANDLES",96,"12-01-2010 10:19",1.25,16013,"United Kingdom"
536761,85099,"JUMBO BAG RED RETROSPOT",100,"12-01-2010 10:19",1.65,17949,"United Kingdom"
536762,22556,"PLASTERS IN TIN CIRCUS PARADE ",-12,"12-01-2010 10:24",1.65,12779,"United Kingdom"
536763,21984,"PACK OF 12 PINK PAISLEY TISSUES ",-24,"12-01-2010 10:24",0.29,16926,"United Kingdom"
536764,21983,"PACK OF 12 BLUE PAISLEY TISSUES ",-24,"12-01-2010 10:24",0.29,17787,"United Kingdom"
536765,21980,"PACK OF 12 RED RETROSPOT TISSUES ",-24,"12-01-2010 10:24",0.29,12682,"United Kingdom"
536769,21484,"CHICK GREY HOT WATER BOTTLE",-12,"12-01-2010 10:24",3.45,14723,"United Kingdom"
536771,22557,"PLASTERS IN TIN VINTAGE PAISLEY ",-12,"12-01-2010 10:24",1.65,17954,"United Kingdom"
536777,22553,"PLASTERS IN TIN SKULLS",-24,"12-01-2010 10:24",1.65,17819,"United Kingdom"
536778,22150,"3 STRIPEY MICE FELTCRAFT",6,"12-01-2010 10:29",1.95,12712,"United Kingdom"
536779,22619,"SET OF 6 SOLDIER SKITTLES",4,"12-01-2010 10:29",3.75,15373,"United Kingdom"
536780,21891,"TRADITIONAL WOODEN SKIPPING ROPE",12,"12-01-2010 10:29",1.25,16140,"United Kingdom"
536781,21889,"WOODEN BOX OF DOMINOES",12,"12-01-2010 10:29",1.25,17198,"United Kingdom"
536782,22827,"RUSTIC  SEVENTEEN DRAWER SIDEBOARD",1,"12-01-2010 10:29",165,17238,"United Kingdom"
536783,22127,"PARTY CONES CARNIVAL ASSORTED",12,"12-01-2010 10:29",1.25,12793,"United Kingdom"
536784,22128,"PARTY CONES CANDY ASSORTED",12,"12-01-2010 10:29",1.25,15769,"United Kingdom"
536785,22502,"PICNIC BASKET WICKER SMALL",4,"12-01-2010 10:29",5.95,14396,"United Kingdom"
536786,84879,"ASSORTED COLOUR BIRD ORNAMENT",16,"12-01-2010 10:29",1.69,14898,"United Kingdom"
536787,22338,"STAR DECORATION PAINTED ZINC ",24,"12-01-2010 10:29",0.65,12725,"United Kingdom"
536788,22180,"RETROSPOT LAMP",8,"12-01-2010 10:37",9.95,16725,"United Kingdom"
536789,21506,"FANCY FONT BIRTHDAY CARD, ",24,"12-01-2010 10:39",0.42,12395,"United Kingdom"
536790,22633,"HAND WARMER UNION JACK",96,"12-01-2010 10:39",1.85,16455,"United Kingdom"
536791,22866,"HAND WARMER SCOTTY DOG DESIGN",96,"12-01-2010 10:39",1.85,13081,"United Kingdom"
536792,22865,"HAND WARMER OWL DESIGN",96,"12-01-2010 10:39",1.85,15545,"United Kingdom"
536793,22632,"HAND WARMER RED RETROSPOT",96,"12-01-2010 10:39",1.85,17243,"United Kingdom"
536794,21485,"RETROSPOT HEART HOT WATER BOTTLE",12,"12-01-2010 10:39",4.95,15465,"United Kingdom"
536795,22349,"DOG BOWL CHASING BALL DESIGN",12,"12-01-2010 10:39",3.75,15708,"United Kingdom"
536796,22558,"CLOTHES PEGS RETROSPOT PACK 24 ",48,"12-01-2010 10:39",1.25,13089,"United Kingdom"
536797,85152,"HAND OVER THE CHOCOLATE   SIGN ",12,"12-01-2010 10:39",2.1,16033,"United Kingdom"
536798,85123,"WHITE HANGING HEART T-LIGHT HOLDER",32,"12-01-2010 10:39",2.55,13838,"United Kingdom"
